Name,Image,tURL,AreasofExpertise
Eric Wilson,https://pbs.twimg.com/profile_images/1013086158375530498/4F7ZDV1W_200x200.jpg,https://twitter.com/ewilson1776,AI |Analytics |Big Data|Culture |Digital Transformation|Leadership |Supply Chain|HR |Social |Customer Experience|Marketing |Predictive Analytics|Blockchain |Emerging Technology|Fintech |Management |Procurement |ERP |Digital Disruption|Innovation |Future of|Change Management
Ronald van Loon,https://pbs.twimg.com/profile_images/456884052847386624/a69hONyQ_200x200.jpeg,https://twitter.com/Ronald_vanLoon,Analytics |Customer Experience|Big Data|Digital Transformation|AI |Sustainability |Procurement |Marketing |IoT |Predictive Analytics|HR |Digital Disruption|Mobility |Management 
Sally Eaves,https://pbs.twimg.com/profile_images/565555690119245824/Xwg6sp1Q_200x200.jpeg,https://twitter.com/sallyeaves,AI |Analytics |IoT 
Jim Marous,https://pbs.twimg.com/profile_images/1074703818154160128/eJl7xcAs_200x200.jpg,https://twitter.com/jimmarous,AI |Digital Transformation|Fintech |Innovation |Change Management
Tripp Braden ,https://pbs.twimg.com/profile_images/686262456126205952/wCla5uWm_200x200.jpg,https://twitter.com/TrippBraden,AI |Analytics |Big Data|Cloud |Digital Disruption|Digital Transformation|Emerging Technology|Fintech |Healthtech |Innovation |IoT |Leadership |Management |Supply Chain|Marketing 
Amelia McNamara ,https://pbs.twimg.com/profile_images/1055552227660759043/8xR6ZFfI_200x200.jpg,https://twitter.com/AmeliaMN,Copy Editing|CSS|Data Curation|Data Mining|Data Visualization|Graphic Design|HTML|Illustrator|InDesign|Interpersonal Skills|JavaScript|LaTeX|Mathematica|Mathematics|Matlab|Photoshop|Proofreading|Public Speaking|Python|Research|Science|Science|Statistical Modeling|Teaching|Tools & Technologies
Mara Averick ,https://pbs.twimg.com/profile_images/551002016953036800/FsQNJ2yh_200x200.jpeg,https://twitter.com/dataandme,Adobe Creative Suite|ArcGIS|BBEdit|Content Inventory|Data Architecture|Data Mapping|Design Documents|Design Strategy|Environmental Justice|Grantsmanship|HTML + CSS|Interaction Design|Interactive Development|Interpersonal Skills|JavaScript|Microsoft Office|MySQL|NVivo|Observational Research|OmniGraffle|Other Skills |Participatory Research|PHP|Qualitative Research|Quantitative Research|R|Ruby|Search Engine Submission|Site Maps|Social Impact Assessment|SPSS|SQL|Survey Design|Tools & Technologies|User Experience|User Profiling|W3C Accessibility|Web Analytics|Web Development|Web Mapping|Website Redesign|Wireframes|Wordpress|Wordpress Design|||||||||||||||||||||||||||
Angela Bassa ,https://pbs.twimg.com/profile_images/812016485069680640/tKpsducS_200x200.jpg,https://twitter.com/AngeBassa,Analytical Skills|Big Data|Business Analysis|Business Development|Business Strategy|Chilled Water|Cloud Computing|Cross-functional Team Leadership|Crunching Numbers|Data Analysis|Data Science|Databases|Decision Analysis|Economics|Enterprise Software|Fire Breathing|Forecasting|Interpersonal Skills|Laser|Leadership|Management|Market Research|Memes|Other Skills |Predictive Analytics|Predictive Modeling|Project Management
Ed Wakelam ,https://pbs.twimg.com/profile_images/841617037134843904/LZDr_PDc_200x200.jpg,https://twitter.com/HarryTuttleOne,AI |Analytics |Big Data|Customer Experience|Innovation 
Mark Reynolds,https://pbs.twimg.com/profile_images/973901018424426496/G-wa6qdw_200x200.jpg,https://twitter.com/Prof_Reynolds,Agile |AI |Analytics |Culture |Design Thinking|Digital Disruption|Digital Transformation|Emerging Technology|Innovation |IoT |Leadership |Open Innovation|Predictive Analytics
Hessie Jones,https://pbs.twimg.com/profile_images/778793475747766272/STf6cSly_200x200.jpg,https://twitter.com/hessiejones,AI |Big Data|CRM |Digital Disruption|Digital Transformation|Marketing |Social |Startups |Analytics |Innovation |Open Innovation|Future of|Culture |Proptech |Health and|Cloud 
